Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.37,Houghton Mifflin Harcourt,Hardcover,415,2019,2019,,2020/04/24,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
52698452,The Book of Longings,Sue Monk Kidd,"Kidd, Sue Monk",,"=""052542976X""","=""9780525429760""",0,4.30,Viking,Hardcover,416,2020,2020,,2020/04/24,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
20342617,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""0812994523""","=""9780812994520""",5,4.60,Spiegel & Grau,Hardcover,336,2014,2014,2020/04/24,2019/12/31,nonfiction,nonfiction (#27),read,,,,1,,,0,,,,,
4813,1421: The Year China Discovered America,Gavin Menzies,"Menzies, Gavin",,"=""006054094X""","=""9780060540944""",0,3.60,Harper Perennial (NYC),Paperback,650,2004,2002,,2020/04/17,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
518848,"Sabriel (Abhorsen,  #1)",Garth Nix,"Nix, Garth",,"=""0064471837""","=""9780064471831""",0,4.16,Harper Collins,Mass Market Paperback,491,1996,1995,,2020/04/15,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
53011908,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,"Farrow, Ronan",,"=""0316486639""","=""9780316486637""",0,4.46,"Little, Brown and Company",Hardcover,448,2019,2019,,2020/02/13,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
3227063,"The Way of Shadows (Night Angel, #1)",Brent Weeks,"Weeks, Brent",,"=""0316033677""","=""9780316033671""",0,4.15,Orbit,Mass Market Paperback,645,2008,2008,,2020/04/02,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.17,Gollancz,Paperback,515,2007,2006,,2020/04/02,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
17910048,"The Goblin Emperor (The Goblin Emperor, #1)",Katherine Addison,"Addison, Katherine",,"=""076532699X""","=""9780765326997""",0,4.04,Tor Books,Hardcover,446,2014,2014,,2020/04/02,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
176261,Those Who Hunt the Night (James Asher #1),Barbara Hambly,"Hambly, Barbara",,"=""0345361326""","=""9780345361325""",0,3.85,Del Rey,Mass Market Paperback,350,1990,1988,,2020/04/02,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
29127,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,"Beagle, Peter S.",,"=""0451450523""","=""9780451450524""",0,4.17,Penguin Roc,Paperback,294,2008,1968,,2020/04/02,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
257333,The Golden Key,Melanie Rawn,"Rawn, Melanie","Kate Elliott, Jennifer Roberson","=""0886777461""","=""9780886777463""",0,3.82,DAW,Paperback,893,1997,1996,,2020/04/02,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.06,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2020/04/02,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",4,4.20,Gallery Books,Paperback,288,1998,1936,2020/04/01,2019/12/31,nonfiction,nonfiction (#26),read,,,,1,,,0,,,,,
104089,Tigana,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0451457765""","=""9780451457769""",0,4.09,Roc,Paperback,676,1999,1990,,2020/03/31,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
12497,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",0,4.11,Vintage,Paperback,309,2006,2005,,2019/12/31,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
33396914,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",3,4.18,Spectra,Kindle Edition,757,2002,1997,2020/03/30,2020/03/12,,,read,,,,1,,,0,,,,,
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",5,4.28,Scribner,Paperback,288,2006,2005,2020/03/06,2019/12/31,,,read,,,,1,,,0,,,,,
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""""","=""""",0,3.90,Ace,Kindle Edition,292,2000,1984,,2020/03/03,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
2890090,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,"Lynch, Scott",,"=""0553804693""","=""9780553804690""",5,4.22,Del Rey,Hardcover,650,2013,2013,2020/03/01,2020/02/23,,,read,,,,1,,,0,,,,,
28385685,Free the Darkness (King's Dark Tidings #1),Kel Kade,"Kade, Kel",,"=""""","=""""",0,4.26,Kel Kade,Kindle Edition,483,2015,2015,,2020/02/28,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
40121985,How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,"Immerwahr, Daniel",,"=""0374172145""","=""9780374172145""",0,4.46,"Farrar, Straus and Giroux",Hardcover,513,2019,2019,,2020/02/25,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
37486540,"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America",Beth Macy,"Macy, Beth",,"=""0316523178""","=""9780316523172""",0,4.11,"Little, Brown and Company",Hardcover,384,2018,2018,,2020/02/25,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2020/02/24,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",3,4.17,Simon & Schuster,Hardcover,600,2017,2017,2020/02/25,2019/05/15,,,read,,,,1,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.27,"Little, Brown and Company",Hardcover,393,2018,2018,,2020/02/24,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
119035,Pistol: The Life of Pete Maravich,Mark Kriegel,"Kriegel, Mark",,"=""0743284976""","=""9780743284974""",0,4.08,Free Press,Hardcover,381,2007,2007,,2020/02/24,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",0,4.06,Anchor Books,Mass Market Paperback,397,2006,1998,,2020/02/24,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.35,Avery,Kindle Edition,319,2018,2018,,2020/02/24,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",4,4.26,St. Martin's Press,Paperback,264,2004,1939,2020/02/23,2020/01/23,,,read,,,,1,,,0,,,,,
44144248,Lost and Found,Orson Scott Card,"Card, Orson Scott",,"=""1982613416""","=""9781982613419""",4,4.05,Blackstone Publishers,Hardcover,281,2019,2019,2020/02/23,2020/01/30,,,read,,,,1,,,0,,,,,
43886050,Music: A Subversive History,Ted Gioia,"Gioia, Ted",,"=""1541644360""","=""9781541644366""",0,3.81,"Basic Books/Hachette Book Group, Inc.",Hardcover,528,2019,2019,,2020/01/02,"to-read, nonfiction","to-read (#32), nonfiction (#31)",to-read,,,,0,,,0,,,,,
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.42,Doubleday,Hardcover,441,2019,2018,,2020/01/02,"to-read, nonfiction","to-read (#33), nonfiction (#30)",to-read,,,,0,,,0,,,,,
464260,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""067974472X""","=""9780679744726""",0,4.51,Vintage,Paperback,106,1993,1963,,2019/12/31,"to-read, nonfiction","to-read (#29), nonfiction (#28)",to-read,,,,0,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Albert Wittstock, Martin Hammond, Diskin Clay","=""0140449337""","=""9780140449334""",0,4.23,Penguin Books,Paperback,303,2006,180,,2019/12/31,"to-read, nonfiction","to-read (#21), nonfiction (#25)",to-read,,,,0,,,0,,,,,
36415807,Bruce Lee: A Life,Matthew Polly,"Polly, Matthew",,"=""1501187627""","=""9781501187629""",0,4.39,Simon  Schuster,Hardcover,656,2018,2018,,2020/01/15,"to-read, nonfiction","to-read (#53), nonfiction (#24)",to-read,,,,0,,,0,,,,,
18656827,"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal",Nick Bilton,"Bilton, Nick",,"=""1591846013""","=""9781591846017""",0,4.03,Portfolio Hardcover,Hardcover,299,2013,2013,,2020/01/15,"to-read, nonfiction","to-read (#52), nonfiction (#23)",to-read,,,,0,,,0,,,,,
79195,"Brainiac: Adventures in the Curious, Competitive, Compulsive World of Trivia Buffs",Ken Jennings,"Jennings, Ken",,"=""1400064457""","=""9781400064458""",0,3.90,Villard,Hardcover,288,2006,2006,,2020/01/15,"to-read, nonfiction","to-read (#51), nonfiction (#22)",to-read,,,,0,,,0,,,,,
10631,Sam Walton: Made In America,Sam Walton,"Walton, Sam",John Huey,"=""0553562835""","=""9780553562835""",0,4.16,Bantam,Paperback,346,1993,1992,,2020/01/07,"to-read, nonfiction","to-read (#47), nonfiction (#21)",to-read,,,,0,,,0,,,,,
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon","=""0062102427""","=""9780062102423""",0,4.08,Harper Business,ebook,240,2012,2012,,2020/01/02,"to-read, nonfiction","to-read (#43), nonfiction (#20)",to-read,,,,0,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,3.97,Penguin,Hardcover,534,2012,2012,,2020/01/02,"to-read, nonfiction","to-read (#42), nonfiction (#19)",to-read,,,,0,,,0,,,,,
41735103,"Meander, Spiral, Explode: Design and Pattern in Narrative",Jane Alison,"Alison, Jane",,"=""1948226138""","=""9781948226134""",0,4.14,Catapult,Paperback,272,2019,2019,,2020/01/02,"to-read, nonfiction","to-read (#40), nonfiction (#18)",to-read,,,,0,,,0,,,,,
33401357,EEG,Daša Drndić,"Drndić, Daša",,"=""""","=""""",0,4.13,Fraktura,,415,2016,2016,,2020/01/02,"to-read, nonfiction","to-read (#39), nonfiction (#17)",to-read,,,,0,,,0,,,,,
44767249,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,Jodi Kantor,"Kantor, Jodi",Megan Twohey,"=""0525560343""","=""9780525560340""",0,4.39,Penguin Press,Hardcover,310,2019,2019,,2020/01/02,"to-read, nonfiction","to-read (#38), nonfiction (#16)",to-read,,,,0,,,0,,,,,
28686959,Based on a True Story,Norm Macdonald,"Macdonald, Norm",,"=""0812993624""","=""9780812993622""",0,3.94,Spiegel & Grau,Hardcover,240,2016,2016,,2020/01/21,"to-read, nonfiction","to-read (#59), nonfiction (#15)",to-read,,,,0,,,0,,,,,
32622193,A Little History of Economics,Niall Kishtainy,"Kishtainy, Niall",,"=""0300206364""","=""9780300206364""",0,4.09,Yale University Press,Hardcover,256,2017,2017,,2020/01/28,"to-read, nonfiction","to-read (#60), nonfiction (#14)",to-read,,,,0,,,0,,,,,
40230101,The Mamba Mentality: How I Play,Kobe Bryant,"Bryant, Kobe","Phil Jackson, Andrew D. Bernstein, Pau Gasol","=""0374201234""","=""9780374201234""",0,4.25,Farrar Straus Giroux,Hardcover,208,2020,,,2020/01/30,"to-read, nonfiction","to-read (#61), nonfiction (#13)",to-read,,,,0,,,0,,,,,
10502301,"Maphead: Charting the Wide, Weird World of Geography Wonks",Ken Jennings,"Jennings, Ken",,"=""1439167176""","=""9781439167175""",0,3.86,Scribner,Hardcover,276,2011,2011,,2020/02/13,"to-read, nonfiction","to-read (#62), nonfiction (#12)",to-read,,,,0,,,0,,,,,
40637475,The Soul of a Team: A Modern-Day Fable for Winning Teamwork,Tony Dungy,"Dungy, Tony",Nathan Whitaker,"=""1496413768""","=""9781496413765""",0,4.27,Tyndale Momentum,Hardcover,256,2019,,,2020/02/17,"to-read, nonfiction","to-read (#64), nonfiction (#11)",to-read,,,,0,,,0,,,,,
26240788,John Quincy Adams: Militant Spirit,James Traub,"Traub, James",,"=""0465028276""","=""9780465028276""",0,4.37,Basic Books,Hardcover,640,2016,2016,,2020/02/17,"to-read, nonfiction","to-read (#65), nonfiction (#10)",to-read,,,,0,,,0,,,,,
29540318,Year of Yes,Shonda Rhimes,"Rhimes, Shonda",,"=""1471157326""","=""9781471157325""",0,4.07,Simon & Schuster Ltd,Paperback,352,2016,2015,,2020/02/18,"to-read, nonfiction","to-read (#69), nonfiction (#9)",to-read,,,,0,,,0,,,,,
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.30,Scribner,Hardcover,571,2010,2010,,2020/02/19,"to-read, nonfiction","to-read (#70), nonfiction (#8)",to-read,,,,0,,,0,,,,,
41571753,Open Book,Jessica Simpson,"Simpson, Jessica",Kevin Carr O'Leary,"=""0062899961""","=""9780062899965""",0,4.14,Dey Street Books,Hardcover,416,2020,2020,,2020/02/21,"to-read, nonfiction","to-read (#72), nonfiction (#7)",to-read,,,,0,,,0,,,,,
25241317,Black Flags: The Rise of ISIS,Joby Warrick,"Warrick, Joby",,"=""0385538227""","=""9780385538220""",0,4.35,Doubleday,ebook,368,2015,2016,,2020/02/21,"to-read, nonfiction","to-read (#75), nonfiction (#6)",to-read,,,,0,,,0,,,,,
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",0,4.13,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,,2020/02/21,"to-read, nonfiction","to-read (#76), nonfiction (#5)",to-read,,,,0,,,0,,,,,
13707734,The Swerve: How the World Became Modern,Stephen Greenblatt,"Greenblatt, Stephen",,"=""0393343405""","=""9780393343403""",0,3.84,W. W. Norton  Company,Paperback,356,2012,2011,,2020/02/21,"to-read, nonfiction","to-read (#78), nonfiction (#4)",to-read,,,,0,,,0,,,,,
71984,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden from the Soviet Invasion to September 10, 2001",Steve Coll,"Coll, Steve",,"=""0143034669""","=""9780143034667""",0,4.31,Penguin Books (London),Paperback,712,2004,2004,,2020/02/21,"to-read, nonfiction","to-read (#79), nonfiction (#3)",to-read,,,,0,,,0,,,,,
6572270,Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,"Snyder, Timothy",,"=""0465002390""","=""9780465002399""",0,4.36,Basic Books,Hardcover,524,2010,2010,,2020/02/21,"to-read, nonfiction","to-read (#80), nonfiction (#2)",to-read,,,,0,,,0,,,,,
15798109,Toms River: A Story of Science and Salvation,Dan Fagin,"Fagin, Dan",,"=""055380653X""","=""9780553806533""",0,4.08,Bantam,Hardcover,560,2013,2013,,2020/02/21,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
1972,Den of Thieves,James B. Stewart,"Stewart, James B.",,"=""067179227X""","=""9780671792275""",0,4.17,Simon  Schuster,Paperback,592,1992,1991,,2020/02/21,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
40611463,The Clan of the Cave Bear,Jean M. Auel,"Auel, Jean M.",,"=""""","=""""",0,4.05,Bantam ,Kindle Edition,516,2016,1980,,2020/02/21,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.10,Penguin Press,Hardcover,338,2017,2017,,2020/02/21,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",4,4.20,Broadway Books,Paperback,544,2004,2003,2020/02/21,2019/12/13,,,read,,,,1,,,0,,,,,
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",5,4.09,Collins,Hardcover,277,2016,2016,2020/02/18,2020/01/08,,,read,,,,1,,,0,,,,,
46041442,The Adventurer's Son,Roman Dial,"Dial, Roman",,"=""0062876600""","=""9780062876607""",0,3.94,William Morrow,Hardcover,368,2020,2020,,2020/02/18,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
44492399,The Other Mrs.,Mary Kubica,"Kubica, Mary",,"=""0778369110""","=""9780778369110""",0,3.73,Park Row,Hardcover,368,2020,2020,,2020/02/18,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",0,4.20,Ballantine Books,Hardcover,355,2019,2019,,2020/02/17,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
40604556,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",5,4.24,Del Rey,Kindle Edition,578,2018,2007,2020/02/17,2020/02/10,,,read,,,,1,,,0,,,,,
25489012,The Road to Little Dribbling: Adventures of an American in Britain,Bill Bryson,"Bryson, Bill",,"=""0385539282""","=""9780385539289""",3,3.70,Doubleday,Hardcover,380,2016,2015,2020/02/12,2020/01/31,,,read,,,,1,,,0,,,,,
43982054,The Water Dancer,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0399590595""","=""9780399590597""",5,4.08,One World,Hardcover,403,2019,2019,2020/02/08,2020/01/23,,,read,,,,1,,,0,,,,,
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217903""","=""9781473217904""",5,4.45,Orion Publishing Co,Paperback,461,2019,2019,2020/01/31,2020/01/26,,,read,,,,1,,,0,,,,,
16141924,Dad Is Fat,Jim Gaffigan,"Gaffigan, Jim",,"=""0385349068""","=""9780385349062""",5,3.78,Crown Archetype,ebook,288,2013,2013,2020/01/31,2018/02/18,,,read,,,,1,,,0,,,,,
38743564,"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom         Wright,"Wright, Tom",Bradley Hope,"=""031643650X""","=""9780316436502""",5,4.05,Hachette Books,Hardcover,400,2018,2018,2020/01/28,2020/01/02,,,read,,,,1,,,0,,,,,
11607,The Running Man,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451197968""","=""9780451197962""",0,3.87,Signet,Paperback,317,1999,1982,,2020/01/17,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
39796904,My Lovely Wife,Samantha  Downing,"Downing, Samantha",,"=""""","=""""",0,3.88,Berkley Books,Hardcover,390,2019,2019,,2020/01/16,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.23,Ace Books,Hardcover,661,2019,1965,,2020/01/16,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
19668,"Without Remorse (John Clark, #1; Jack Ryan Universe Publication Order #6)",Tom Clancy,"Clancy, Tom",,"=""0425143325""","=""9780425143322""",0,4.17,Berkley Books,Paperback,750,1994,1993,,2020/01/16,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
36124936,The Outsider,Stephen King,"King, Stephen",,"=""1501180983""","=""9781501180989""",0,3.98,Scribner,Hardcover,561,2018,2018,,2020/01/16,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",3,4.29,Orbit,Paperback,468,2015,2015,2020/01/12,2020/01/12,,,read,,,,1,,,0,,,,,
4122,Built to Last: Successful Habits of Visionary Companies,James C. Collins,"Collins, James C.",Jerry I. Porras,"=""0060566108""","=""9780060566104""",4,4.01,Harper Business,Hardcover,368,2004,1994,2020/01/08,2020/01/02,,,read,,,,1,,,0,,,,,
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.03,W.W. Norton & Company,Paperback,425,2005,1997,,2020/01/08,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
781182,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,"Burrough, Bryan",John Helyar,"=""0060536357""","=""9780060536350""",0,4.25,HarperBus,Paperback,592,2005,1990,,2020/01/08,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
33954,The Spook Who Sat by the Door,Sam Greenlee,"Greenlee, Sam",,"=""1930097271""","=""9781930097278""",0,4.38,Lushena Books,Paperback,256,2014,1969,,2020/01/07,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
40139205,The Divers' Game,Jesse Ball,"Ball, Jesse",,"=""0062676113""","=""9780062676115""",0,3.51,Ecco,ebook,240,2019,2019,,2020/01/02,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
43682552,How We Fight For Our Lives,Saeed Jones,"Jones, Saeed",,"=""1501132733""","=""9781501132735""",0,4.28,Simon and Schuster,Hardcover,192,2019,2019,,2020/01/02,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",0,4.07,Dial Press,Paperback,275,1999,1969,,2020/01/02,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
36576608,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.14,,,216,,1966,,2020/01/02,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
40245130,Lost Children Archive,Valeria Luiselli,"Luiselli, Valeria",,"=""0525520619""","=""9780525520610""",0,3.85,Knopf Publishing Group,Hardcover,385,2019,2019,,2020/01/02,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
43565369,The Topeka School,Ben Lerner,"Lerner, Ben",,"=""0374277788""","=""9780374277789""",0,3.55,"Farrar, Straus and Giroux",Hardcover,282,2019,2019,,2020/01/02,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
43256597,Night Boat to Tangier,Kevin Barry,"Barry, Kevin",,"=""0385540310""","=""9780385540315""",0,3.71,Doubleday,Hardcover,224,2019,2019,,2020/01/02,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
40046059,Trust Exercise,Susan Choi,"Choi, Susan",,"=""1250309883""","=""9781250309884""",0,3.14,Henry Holt & Company,Hardcover,257,2019,2019,,2020/01/02,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
40060700,The Old Drift,Namwali Serpell,"Serpell, Namwali",,"=""1781090491""","=""9781781090497""",0,3.76,Hogarth,Hardcover,576,2019,2019,,2020/01/02,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
394535,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.17,Vintage Books,Paperback,351,1992,1985,,2019/12/31,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
2570856,"Monster Hunter International (Monster Hunter International, #1)",Larry Correia,"Correia, Larry",,"=""0741444569""","=""9780741444561""",0,4.05,Infinity Publishing,Paperback,457,2009,2009,,2019/12/31,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.58,St. Martin's Press,Hardcover,440,2015,2015,,2019/12/31,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
25489134,"The Bear and the Nightingale (Winternight Trilogy, #1)",Katherine Arden,"Arden, Katherine",,"=""1101885939""","=""9781101885932""",0,4.11,Del Rey Books,Hardcover,323,2017,2017,,2019/12/31,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.38,Riverhead Books,Hardcover,372,2007,2007,,2019/12/31,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",0,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2019/12/31,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,4.00,William Morrow Books,Hardcover,181,2013,2013,,2019/12/31,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""0385534639""","=""9780385534635""",0,4.04,Doubleday,Hardcover,391,2011,2011,,2019/12/31,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
21787,The Princess Bride,William Goldman,"Goldman, William",,"=""0345418263""","=""9780345418265""",0,4.26,Ballantine Books,Paperback,456,2003,1973,,2019/12/31,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.33,Scribner,Hardcover,531,2014,2014,,2019/12/31,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""0375831002""","=""9780375831003""",0,4.37,Alfred A. Knopf,Hardcover,552,2006,2005,,2019/12/31,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
85431,"Friday Night Lights: A Town, a Team, and a Dream",H.G. Bissinger,"Bissinger, H.G.",,"=""0306814250""","=""9780306814259""",2,4.13,Da Capo Press,Mass Market Paperback,357,2004,1988,2019/12/21,2019/12/21,,,read,,,,1,,,0,,,,,
44781614,Run Away,Harlan Coben,"Coben, Harlan",,"=""1780894260""","=""9781780894263""",4,4.05,Century,Paperback,384,2019,2019,2019/12/17,2019/12/17,,,read,,,,1,,,0,,,,,
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,"=""1592407331""","=""9781592407330""",5,4.27,Avery,Hardcover,287,2012,2012,,2019/12/10,,,read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",4,3.99,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,2019/12/10,2019/12/10,,,read,,,,1,,,0,,,,,
34565022,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,"Brown, Brené",,"=""0812995848""","=""9780812995848""",5,4.15,Random House,Hardcover,208,2017,2017,2019/11/25,2019/11/25,,,read,,,,1,,,0,,,,,
