Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9595650,"Hexed (The Iron Druid Chronicles, #2)",Kevin Hearne,"Hearne, Kevin",,"=""0345522494""","=""9780345522498""",5,4.22,Del Rey,Mass Market Paperback,296,2011,2011,2018/01/01,2018/02/18,,,read,,,,1,,,0,,,,,
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",5,4.10,Del Rey,Mass Market Paperback,304,2011,2011,2018/01/01,2018/02/18,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",5,4.16,"Little, Brown and Company",Hardcover,309,2008,2008,2018/01/01,2018/02/18,,,read,,,,1,,,0,,,,,
448873,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,"Turner, Megan Whalen",,"=""0060824972""","=""9780060824976""",5,3.87,Greenwillow Books,Paperback,280,2005,1996,2018/01/01,2018/02/18,,,read,,,,1,,,0,,,,,
10538,The Life and Times of the Thunderbolt Kid,Bill Bryson,"Bryson, Bill",Goran Skrobonja,"=""076791936X""","=""9780767919364""",4,3.94,Broadway Books,Hardcover,288,2006,2006,2018/01/01,2018/02/18,,,read,,,,1,,,0,,,,,
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,"=""0142406635""","=""9780142406632""",5,4.22,Puffin Books,Paperback,249,2006,2004,,2018/02/18,,,read,,,,1,,,0,,,,,
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",5,4.18,Tor Fantasy,Mass Market Paperback,638,2006,2005,,2018/02/18,,,read,,,,1,,,0,,,,,
8306745,"A World Without Heroes (Beyonders, #1)",Brandon Mull,"Mull, Brandon",,"=""141699792X""","=""9781416997924""",0,4.10,Aladdin,Hardcover,457,2011,2011,,2018/02/18,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",5,3.90,Alfred A. Knopf,Paperback,503,2005,2002,,2018/02/18,,,read,,,,1,,,0,,,,,
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",5,4.25,Disney Hyperion Books,Paperback,375,2006,2005,,2018/02/18,,,read,,,,1,,,0,,,,,
